Timestamp,Date,Time,Crab Legolas PTS,Crab Legolas PROJ,Crab Legolas WPCT,Two Minute Excadrill PTS,Two Minute Excadrill PROJ,Two Minute Excadrill WPCT,Island of Misfit Boys PTS,Island of Misfit Boys PROJ,Island of Misfit Boys WPCT,Neon Cactus TNF PTS,Neon Cactus TNF PROJ,Neon Cactus TNF WPCT,The Mania PTS,The Mania PROJ,The Mania WPCT,Mean Bean Disappointments PTS,Mean Bean Disappointments PROJ,Mean Bean Disappointments WPCT,NoRtHwEsTeRn WaLk SiGn PTS,NoRtHwEsTeRn WaLk SiGn PROJ,NoRtHwEsTeRn WaLk SiGn WPCT,Sandbaggers PTS,Sandbaggers PROJ,Sandbaggers WPCT,Jake the Dog PTS,Jake the Dog PROJ,Jake the Dog WPCT,Carrie's Quads PTS,Carrie's Quads PROJ,Carrie's Quads WPCT,The Chop Block PTS,The Chop Block PROJ,The Chop Block WPCT,Third Down Syndrome PTS,Third Down Syndrome PROJ,Third Down Syndrome WPCT
1757031857,2025-09-04,17:24:17,0.00,119.74,0.56,0.00,116.99,0.55,0.00,115.08,0.48,0.00,116.71,0.53,0.00,113.56,0.43999999999999995,0.00,113.24,0.42999999999999994,0.00,119.84,0.42999999999999994,10.00,116.94,0.52,0.00,127.65,0.5700000000000001,0.00,113.70,0.47,0.00,120.31,0.5700000000000001,0.00,111.99,0.44999999999999996
1757031918,2025-09-04,17:25:18,0.00,119.74,0.56,0.00,116.99,0.55,0.00,115.08,0.48,0.00,116.71,0.53,0.00,113.56,0.43999999999999995,0.00,113.24,0.42999999999999994,0.00,119.84,0.42999999999999994,10.00,116.94,0.52,0.00,127.65,0.5700000000000001,0.00,113.70,0.47,0.00,120.31,0.5700000000000001,0.00,111.99,0.44999999999999996
1757031977,2025-09-04,17:26:17,0.00,119.74,0.56,0.00,116.99,0.55,0.00,115.08,0.48,0.00,116.71,0.53,0.00,113.56,0.43999999999999995,0.00,113.24,0.42999999999999994,0.00,119.84,0.42999999999999994,10.00,116.94,0.52,0.00,127.65,0.5700000000000001,0.00,113.70,0.47,0.00,120.31,0.5700000000000001,0.00,111.99,0.44999999999999996
1757032037,2025-09-04,17:27:17,0.00,119.74,0.56,0.00,116.99,0.55,0.00,115.08,0.48,0.00,116.71,0.53,0.00,113.56,0.43999999999999995,0.00,113.24,0.42999999999999994,0.00,119.84,0.42999999999999994,10.00,116.94,0.52,0.00,127.65,0.5700000000000001,0.00,113.70,0.47,0.00,120.31,0.5700000000000001,0.00,111.99,0.44999999999999996
1757032097,2025-09-04,17:28:17,0.00,119.74,0.56,0.00,116.99,0.54,0.00,115.08,0.48,0.00,116.71,0.53,0.00,113.56,0.43999999999999995,0.00,113.24,0.42999999999999994,0.00,119.84,0.42999999999999994,10.00,116.94,0.52,0.00,127.65,0.5700000000000001,0.00,113.70,0.47,0.00,120.31,0.5700000000000001,0.00,111.99,0.45999999999999996
1757032157,2025-09-04,17:29:17,0.00,119.74,0.56,0.00,116.99,0.54,0.00,115.08,0.49,1.10,116.71,0.53,0.00,113.56,0.43999999999999995,0.24,113.24,0.42999999999999994,0.00,119.84,0.43999999999999995,10.00,116.94,0.51,0.00,127.65,0.56,0.00,113.70,0.47,0.00,120.31,0.5700000000000001,0.00,111.99,0.45999999999999996
1757032217,2025-09-04,17:30:17,0.00,119.74,0.56,0.00,116.99,0.54,0.00,115.08,0.49,1.10,116.71,0.49,0.00,113.56,0.43999999999999995,1.52,113.24,0.43999999999999995,0.00,119.84,0.43999999999999995,10.00,116.94,0.51,0.00,127.65,0.56,3.70,113.70,0.51,0.00,120.31,0.56,0.00,111.99,0.45999999999999996
1757032277,2025-09-04,17:31:17,0.00,119.74,0.56,0.00,116.99,0.54,0.00,115.08,0.49,1.10,116.71,0.49,0.00,113.56,0.43999999999999995,1.52,113.24,0.43999999999999995,0.00,119.84,0.44999999999999996,10.00,116.94,0.51,0.00,127.65,0.55,3.70,113.70,0.51,0.00,120.31,0.56,0.00,111.99,0.45999999999999996
1757032337,2025-09-04,17:32:17,0.00,119.74,0.56,0.00,116.99,0.54,0.00,115.08,0.54,1.10,116.71,0.49,0.00,113.56,0.43999999999999995,1.52,113.24,0.43999999999999995,0.00,119.84,0.44999999999999996,5.00,116.94,0.45999999999999996,0.00,127.65,0.55,3.70,113.70,0.51,0.00,120.31,0.56,0.00,111.99,0.45999999999999996
1757032397,2025-09-04,17:33:17,0.00,119.74,0.56,0.00,116.99,0.54,0.00,115.08,0.54,1.10,116.71,0.49,0.00,113.56,0.43999999999999995,1.52,113.24,0.43999999999999995,0.00,119.84,0.44999999999999996,5.00,116.94,0.45999999999999996,0.00,127.65,0.55,3.70,113.70,0.51,0.00,120.31,0.56,0.00,111.99,0.45999999999999996
1757032458,2025-09-04,17:34:18,0.00,119.74,0.56,0.00,116.99,0.54,0.00,115.08,0.54,1.10,116.71,0.49,0.00,113.56,0.43999999999999995,1.52,113.24,0.43999999999999995,0.00,119.84,0.44999999999999996,5.00,116.94,0.45999999999999996,0.00,127.65,0.55,3.70,113.70,0.51,0.00,120.31,0.56,0.00,111.99,0.45999999999999996
1757032518,2025-09-04,17:35:18,0.00,119.74,0.56,0.00,116.99,0.54,0.00,115.08,0.54,1.10,116.71,0.49,0.00,113.56,0.43999999999999995,1.52,113.24,0.43999999999999995,0.00,119.84,0.44999999999999996,5.00,116.94,0.45999999999999996,0.00,127.65,0.55,3.70,113.70,0.51,0.00,120.31,0.56,0.00,111.99,0.45999999999999996
1757032577,2025-09-04,17:36:17,0.00,119.74,0.56,0.00,116.99,0.54,0.00,115.08,0.54,1.42,116.71,0.49,0.00,113.56,0.43999999999999995,1.52,113.24,0.43999999999999995,0.00,119.84,0.44999999999999996,5.00,116.94,0.45999999999999996,0.00,127.65,0.55,3.70,113.70,0.51,0.00,120.31,0.56,0.00,111.99,0.45999999999999996
1757032637,2025-09-04,17:37:17,0.00,119.74,0.56,0.00,116.99,0.54,0.00,115.08,0.54,2.12,116.71,0.49,0.00,113.56,0.43999999999999995,1.52,113.24,0.43999999999999995,0.00,119.84,0.44999999999999996,5.00,116.94,0.45999999999999996,0.30,127.65,0.55,3.70,113.70,0.51,0.00,120.31,0.56,0.00,111.99,0.45999999999999996
