Timestamp,Date,Time,Vertical,Crab Legolas PTS,Crab Legolas PROJ,Crab Legolas WPCT,Two Minute Excadrill PTS,Two Minute Excadrill PROJ,Two Minute Excadrill WPCT,Island of Misfit Boys PTS,Island of Misfit Boys PROJ,Island of Misfit Boys WPCT,Neon Cactus TNF PTS,Neon Cactus TNF PROJ,Neon Cactus TNF WPCT,The Mania PTS,The Mania PROJ,The Mania WPCT,Mean Bean Disappointments PTS,Mean Bean Disappointments PROJ,Mean Bean Disappointments WPCT,NoRtHwEsTeRn WaLk SiGn PTS,NoRtHwEsTeRn WaLk SiGn PROJ,NoRtHwEsTeRn WaLk SiGn WPCT,Sandbaggers PTS,Sandbaggers PROJ,Sandbaggers WPCT,Jake the Dog PTS,Jake the Dog PROJ,Jake the Dog WPCT,Carrie's Quads PTS,Carrie's Quads PROJ,Carrie's Quads WPCT,The Chop Block PTS,The Chop Block PROJ,The Chop Block WPCT,Third Down Syndrome PTS,Third Down Syndrome PROJ,Third Down Syndrome WPCT
1757636354,2025-09-11,17:19:14,,0.00,123.32,0.59,0.00,115.66,0.43999999999999995,0.00,118.11,0.51,0.00,116.63,0.49,0.00,108.88,0.4,0.00,117.99,0.42999999999999994,0.00,121.92,0.56,0.00,116.82,0.47,0.00,125.51,0.5700000000000001,0.00,113.16,0.41000000000000003,0.00,120.64,0.6,0.00,120.62,0.53
1757636656,2025-09-11,17:24:16,,0.00,123.32,0.59,0.00,115.66,0.43999999999999995,0.00,118.11,0.51,0.00,116.63,0.49,0.00,108.88,0.4,0.00,117.99,0.42999999999999994,0.00,121.92,0.56,0.00,116.82,0.47,0.00,125.51,0.5700000000000001,0.00,113.16,0.41000000000000003,0.00,120.64,0.6,0.00,120.62,0.53
1757636958,2025-09-11,17:29:18,,0.00,123.32,0.59,0.00,115.66,0.43999999999999995,0.00,118.11,0.52,0.00,116.63,0.48,0.00,108.88,0.39,10.00,117.99,0.42999999999999994,0.00,121.92,0.56,0.00,116.82,0.47,0.00,125.51,0.5700000000000001,0.00,113.16,0.41000000000000003,0.00,120.64,0.61,2.48,120.62,0.53
1757637260,2025-09-11,17:34:20,,0.00,123.32,0.59,0.00,115.66,0.43999999999999995,0.00,118.11,0.52,0.28,116.63,0.48,0.00,108.88,0.39,12.00,117.99,0.44999999999999996,0.00,121.92,0.56,0.00,116.82,0.49,0.00,125.51,0.55,0.00,113.16,0.41000000000000003,0.00,120.64,0.61,2.44,120.62,0.51
1757637562,2025-09-11,17:39:22,,0.00,123.32,0.59,0.00,115.66,0.43999999999999995,0.00,118.11,0.53,0.28,116.63,0.47,8.20,108.88,0.47,12.00,117.99,0.44999999999999996,0.00,121.92,0.56,0.00,116.82,0.47,0.00,125.51,0.55,0.00,113.16,0.41000000000000003,0.00,120.64,0.53,5.82,120.62,0.53
1757637864,2025-09-11,17:44:24,,0.00,123.32,0.59,0.00,115.66,0.43999999999999995,0.00,118.11,0.53,0.28,116.63,0.47,8.20,108.88,0.45999999999999996,12.00,117.99,0.44999999999999996,0.00,121.92,0.56,0.00,116.82,0.42000000000000004,0.00,125.51,0.55,0.00,113.16,0.41000000000000003,0.00,120.64,0.54,11.42,120.62,0.58
1757638166,2025-09-11,17:49:26,,0.00,122.74,0.59,0.00,115.61,0.43999999999999995,0.00,117.94,0.53,0.36,116.54,0.47,8.20,108.94,0.45999999999999996,12.00,118.00,0.44999999999999996,0.00,121.92,0.56,0.00,116.63,0.42999999999999994,0.00,125.19,0.55,0.00,113.09,0.41000000000000003,0.00,120.48,0.54,11.42,120.79,0.5700000000000001
1757638467,2025-09-11,17:54:27,,0.00,122.74,0.59,0.00,115.61,0.43999999999999995,0.00,117.94,0.54,0.36,116.54,0.45999999999999996,8.20,108.94,0.45999999999999996,12.00,118.00,0.44999999999999996,0.00,121.92,0.56,0.00,116.63,0.44999999999999996,0.00,125.19,0.55,0.00,113.09,0.41000000000000003,0.00,120.48,0.54,11.82,120.79,0.55
1757638770,2025-09-11,17:59:30,,0.00,122.74,0.59,0.00,115.61,0.43999999999999995,0.00,117.94,0.54,0.36,116.54,0.45999999999999996,8.20,108.94,0.45999999999999996,12.00,118.00,0.44999999999999996,0.00,121.92,0.56,0.00,116.63,0.44999999999999996,0.00,125.19,0.55,0.00,113.09,0.41000000000000003,0.00,120.48,0.54,12.32,120.79,0.55
1757639072,2025-09-11,18:04:32,,0.00,122.76,0.59,0.00,115.55,0.43999999999999995,0.90,117.94,0.54,0.90,116.55,0.45999999999999996,8.20,108.89,0.45999999999999996,12.00,117.95,0.44999999999999996,0.00,121.93,0.56,0.00,116.65,0.45999999999999996,0.00,125.21,0.55,0.00,113.02,0.41000000000000003,0.00,120.40,0.54,13.52,120.78,0.54
1757639373,2025-09-11,18:09:33,,0.00,122.76,0.59,0.00,115.55,0.43999999999999995,0.90,117.94,0.55,0.90,116.55,0.44999999999999996,8.20,108.89,0.45999999999999996,12.00,117.95,0.44999999999999996,0.00,121.93,0.56,0.00,116.65,0.43999999999999995,0.00,125.21,0.55,0.00,113.02,0.41000000000000003,0.00,120.40,0.54,16.20,120.78,0.56
1757639675,2025-09-11,18:14:35,,0.00,122.76,0.59,0.00,115.55,0.43999999999999995,0.90,117.94,0.55,0.90,116.55,0.44999999999999996,10.40,108.89,0.47,12.00,117.95,0.44999999999999996,0.00,121.93,0.56,0.00,116.65,0.38,0.00,125.21,0.55,0.00,113.02,0.41000000000000003,0.00,120.40,0.53,24.46,120.78,0.62
1757639979,2025-09-11,18:19:39,,0.00,122.76,0.59,0.00,115.55,0.43999999999999995,0.90,117.94,0.55,0.90,116.55,0.44999999999999996,10.40,108.89,0.47,12.00,117.95,0.44999999999999996,0.00,121.93,0.56,0.00,116.65,0.38,0.00,125.21,0.55,0.00,113.02,0.41000000000000003,0.00,120.40,0.53,24.46,120.78,0.62
1757640281,2025-09-11,18:24:41,,0.00,122.76,0.59,0.00,115.55,0.43999999999999995,2.80,117.94,0.56,1.82,116.55,0.43999999999999995,10.40,108.89,0.47,12.00,117.95,0.44999999999999996,0.00,121.93,0.56,0.00,116.65,0.4,0.00,125.21,0.55,0.00,113.02,0.41000000000000003,0.00,120.40,0.53,24.46,120.78,0.6
1757640584,2025-09-11,18:29:44,,0.00,122.76,0.59,0.00,115.55,0.43999999999999995,2.80,117.94,0.56,2.32,116.55,0.43999999999999995,10.40,108.89,0.47,9.00,117.95,0.42999999999999994,0.00,121.93,0.56,0.00,116.65,0.41000000000000003,0.00,125.21,0.5700000000000001,0.00,113.02,0.41000000000000003,0.00,120.40,0.53,24.46,120.78,0.59
1757640886,2025-09-11,18:34:46,,0.00,122.75,0.59,0.00,115.55,0.43999999999999995,2.80,117.94,0.56,3.12,116.55,0.43999999999999995,10.40,108.89,0.47,9.00,117.95,0.42999999999999994,0.00,121.93,0.56,0.00,116.65,0.42000000000000004,0.00,125.21,0.5700000000000001,0.00,113.02,0.41000000000000003,0.00,120.40,0.53,24.50,120.78,0.58
1757641188,2025-09-11,18:39:48,,0.00,122.75,0.59,0.00,115.55,0.43999999999999995,2.80,117.94,0.56,3.36,116.55,0.43999999999999995,10.40,108.89,0.45999999999999996,9.00,117.95,0.42999999999999994,0.00,121.93,0.56,0.00,116.65,0.42000000000000004,0.00,125.21,0.5700000000000001,0.00,113.02,0.41000000000000003,0.00,120.40,0.54,25.60,120.78,0.58
1757641490,2025-09-11,18:44:50,,0.00,122.75,0.59,0.00,115.55,0.43999999999999995,2.80,117.94,0.56,3.36,116.55,0.43999999999999995,10.40,108.89,0.45999999999999996,9.00,117.95,0.42999999999999994,0.00,121.93,0.56,0.00,116.65,0.41000000000000003,0.00,125.21,0.5700000000000001,0.00,113.02,0.41000000000000003,0.00,120.40,0.54,26.96,120.78,0.59
1757641792,2025-09-11,18:49:52,,0.00,122.79,0.59,0.00,115.56,0.43999999999999995,2.80,117.95,0.56,3.36,116.88,0.43999999999999995,10.40,108.75,0.45999999999999996,9.00,117.98,0.43999999999999995,0.00,122.00,0.56,0.00,116.57,0.41000000000000003,0.00,124.29,0.56,0.00,113.17,0.41000000000000003,0.00,120.39,0.54,26.96,120.69,0.59
1757642094,2025-09-11,18:54:54,,0.00,122.79,0.59,0.00,115.56,0.43999999999999995,2.80,117.95,0.56,3.36,116.88,0.43999999999999995,10.40,108.75,0.45999999999999996,9.00,117.98,0.43999999999999995,0.00,122.00,0.56,0.00,116.57,0.41000000000000003,0.00,124.29,0.56,0.00,113.17,0.41000000000000003,0.00,120.39,0.54,26.96,120.69,0.59
1757642396,2025-09-11,18:59:56,,0.00,122.79,0.59,0.00,115.56,0.43999999999999995,2.80,117.95,0.56,3.72,116.88,0.43999999999999995,10.40,108.75,0.45999999999999996,9.00,117.98,0.43999999999999995,0.00,122.00,0.56,0.00,116.57,0.42000000000000004,0.00,124.29,0.56,0.00,113.17,0.41000000000000003,0.00,120.39,0.54,26.96,120.69,0.58
1757642698,2025-09-11,19:04:58,,0.00,122.79,0.59,0.00,115.62,0.43999999999999995,2.80,117.95,0.56,3.84,116.87,0.43999999999999995,10.40,108.80,0.45999999999999996,11.00,117.95,0.44999999999999996,0.00,122.01,0.56,0.00,116.38,0.42999999999999994,0.00,124.34,0.55,0.00,113.18,0.41000000000000003,0.00,120.40,0.54,27.76,120.72,0.5700000000000001
1757643000,2025-09-11,19:10:00,,0.00,122.79,0.59,0.00,115.62,0.43999999999999995,2.80,117.95,0.56,3.84,116.87,0.43999999999999995,13.90,108.80,0.48,11.00,117.95,0.44999999999999996,0.00,122.01,0.56,0.00,116.38,0.42000000000000004,0.00,124.34,0.55,0.00,113.18,0.41000000000000003,0.00,120.40,0.52,30.74,120.72,0.58
1757643302,2025-09-11,19:15:02,,0.00,122.79,0.59,0.00,115.62,0.43999999999999995,2.80,117.95,0.5700000000000001,3.84,116.87,0.42999999999999994,13.80,108.80,0.47,11.00,117.95,0.44999999999999996,0.00,122.01,0.56,0.00,116.38,0.42999999999999994,0.00,124.34,0.55,0.00,113.18,0.41000000000000003,0.00,120.40,0.53,31.60,120.72,0.5700000000000001
1757643604,2025-09-11,19:20:04,,0.00,122.79,0.59,0.00,115.62,0.43999999999999995,2.80,117.95,0.5700000000000001,4.12,116.87,0.42999999999999994,13.80,108.80,0.47,11.00,117.95,0.44999999999999996,0.00,122.01,0.56,0.00,116.38,0.43999999999999995,0.00,124.34,0.55,0.00,113.18,0.41000000000000003,0.00,120.40,0.53,31.60,120.72,0.56
1757643906,2025-09-11,19:25:06,,0.00,122.79,0.59,0.00,115.62,0.43999999999999995,2.80,117.95,0.5700000000000001,4.12,116.87,0.42999999999999994,13.80,108.80,0.47,11.00,117.95,0.44999999999999996,0.00,122.01,0.56,0.00,116.38,0.44999999999999996,0.00,124.34,0.55,0.00,113.18,0.41000000000000003,0.00,120.40,0.53,31.80,120.72,0.55
1757644208,2025-09-11,19:30:08,,0.00,122.79,0.59,0.00,115.62,0.43999999999999995,2.80,117.95,0.5700000000000001,4.48,116.87,0.42999999999999994,13.80,108.80,0.47,11.00,117.95,0.44999999999999996,0.00,122.01,0.56,0.00,116.38,0.45999999999999996,0.00,124.34,0.55,0.00,113.18,0.41000000000000003,0.00,120.40,0.53,31.80,120.72,0.54
1757644511,2025-09-11,19:35:11,,0.00,122.79,0.59,0.00,115.62,0.43999999999999995,2.80,117.95,0.5700000000000001,4.92,116.87,0.42999999999999994,13.80,108.80,0.47,16.00,117.95,0.5,0.00,122.01,0.56,0.00,116.38,0.47,0.00,124.34,0.5,0.00,113.18,0.41000000000000003,0.00,120.40,0.53,31.80,120.72,0.53
1757644812,2025-09-11,19:40:12,,0.00,122.79,0.59,0.00,115.62,0.43999999999999995,4.40,117.95,0.53,10.26,116.87,0.47,13.80,108.80,0.47,13.00,117.95,0.47,0.00,122.01,0.56,0.00,116.38,0.48,0.00,124.34,0.53,0.00,113.18,0.41000000000000003,0.00,120.40,0.53,31.80,120.72,0.52
1757645114,2025-09-11,19:45:14,,0.00,122.67,0.59,0.00,115.74,0.43999999999999995,4.40,118.16,0.54,10.26,116.75,0.45999999999999996,13.80,108.90,0.45999999999999996,13.00,117.98,0.47,0.00,122.02,0.56,0.00,116.41,0.48,0.00,124.42,0.53,0.00,112.98,0.41000000000000003,0.00,120.49,0.54,32.24,120.64,0.52
1757645417,2025-09-11,19:50:17,,0.00,122.67,0.59,0.00,115.74,0.43999999999999995,4.40,118.16,0.54,10.26,116.75,0.45999999999999996,15.10,108.90,0.47,13.00,117.98,0.47,0.00,122.02,0.56,0.00,116.41,0.5,0.00,124.42,0.53,0.00,112.98,0.41000000000000003,0.00,120.49,0.53,33.46,120.64,0.5
1757645719,2025-09-11,19:55:19,,0.00,122.67,0.59,0.00,115.74,0.43999999999999995,4.40,118.16,0.54,10.36,116.75,0.45999999999999996,22.40,108.90,0.54,10.00,117.98,0.43999999999999995,0.00,122.02,0.56,0.00,116.41,0.45999999999999996,0.00,124.42,0.56,0.00,112.98,0.41000000000000003,0.00,120.49,0.45999999999999996,37.68,120.64,0.54
1757646021,2025-09-11,20:00:21,,0.00,122.62,0.58,0.00,115.83,0.43999999999999995,4.40,118.16,0.55,10.36,116.77,0.44999999999999996,22.40,108.89,0.54,11.00,117.99,0.44999999999999996,0.00,122.02,0.56,0.00,116.43,0.47,0.00,124.36,0.55,0.00,114.02,0.42000000000000004,0.00,120.56,0.45999999999999996,37.68,120.60,0.53
1757646323,2025-09-11,20:05:23,,0.00,122.62,0.58,0.00,115.83,0.43999999999999995,4.40,118.16,0.55,10.36,116.77,0.44999999999999996,22.40,108.89,0.53,11.00,117.99,0.44999999999999996,0.00,122.02,0.56,0.00,116.43,0.48,0.00,124.36,0.55,0.00,114.02,0.42000000000000004,0.00,120.56,0.47,37.88,120.60,0.52
1757646625,2025-09-11,20:10:25,,0.00,122.62,0.58,0.00,115.83,0.43999999999999995,6.10,118.16,0.55,11.64,116.77,0.44999999999999996,22.40,108.89,0.53,11.00,117.99,0.44999999999999996,0.00,122.02,0.56,0.00,116.43,0.47,0.00,124.36,0.55,0.00,114.02,0.42000000000000004,0.00,120.56,0.47,39.58,120.60,0.53
1757646928,2025-09-11,20:15:28,,0.00,122.62,0.58,0.00,115.83,0.43999999999999995,7.30,118.16,0.56,12.78,116.77,0.43999999999999995,22.40,108.89,0.53,13.00,117.99,0.47,0.00,122.02,0.56,0.00,116.43,0.48,0.00,124.36,0.53,0.00,114.02,0.42000000000000004,0.00,120.56,0.47,39.58,120.60,0.52
1757647230,2025-09-11,20:20:30,,0.00,122.62,0.58,0.00,115.83,0.43999999999999995,7.30,118.16,0.49,19.18,116.77,0.51,22.40,108.89,0.53,10.00,117.99,0.43999999999999995,0.00,122.02,0.56,0.00,116.43,0.41000000000000003,0.00,124.36,0.56,0.00,114.02,0.42000000000000004,0.00,120.56,0.47,47.28,120.60,0.59
1757647532,2025-09-11,20:25:32,,0.00,122.62,0.58,0.00,115.83,0.43999999999999995,7.30,118.16,0.49,19.70,116.77,0.51,22.40,108.89,0.53,10.00,117.99,0.43999999999999995,0.00,122.02,0.56,0.00,116.43,0.41000000000000003,0.00,124.36,0.56,0.00,114.02,0.42000000000000004,0.00,120.56,0.47,49.38,120.60,0.59
1757647834,2025-09-11,20:30:34,,0.00,122.62,0.58,0.00,115.83,0.43999999999999995,7.30,118.16,0.49,19.70,116.77,0.51,22.40,108.89,0.53,11.00,117.99,0.44999999999999996,0.00,122.02,0.56,0.00,116.43,0.42000000000000004,0.00,124.36,0.55,0.00,114.02,0.42000000000000004,0.00,120.56,0.47,49.18,120.60,0.58
1757649412,2025-09-11,20:56:52,1,0.00,122.54,0.5700000000000001,0.00,115.75,0.43999999999999995,7.30,117.90,0.49,19.70,116.82,0.51,22.40,108.91,0.53,11.00,118.01,0.44999999999999996,0.00,122.10,0.56,0.00,116.37,0.42000000000000004,0.00,124.27,0.55,0.00,114.25,0.42999999999999994,0.00,120.57,0.47,49.18,120.50,0.58
1757869569,2025-09-14,10:06:09,,12.22,122.55,0.5700000000000001,16.62,118.13,0.51,19.30,119.76,0.52,29.70,116.98,0.48,24.50,112.42,0.5700000000000001,11.00,118.48,0.45999999999999996,13.10,122.30,0.49,11.30,119.88,0.47,0.00,124.08,0.54,3.90,114.38,0.42999999999999994,10.00,120.23,0.42999999999999994,59.18,120.46,0.53
1757869871,2025-09-14,10:11:11,,12.62,122.55,0.5700000000000001,21.38,118.13,0.5,19.30,119.76,0.52,29.70,116.98,0.48,31.90,112.42,0.6,11.00,118.48,0.44999999999999996,14.80,122.30,0.5,13.40,119.88,0.43999999999999995,0.00,124.08,0.55,4.40,114.38,0.42999999999999994,14.16,120.23,0.4,61.88,120.46,0.56
1757870172,2025-09-14,10:16:12,,12.62,122.55,0.5,18.38,118.13,0.48,19.30,119.76,0.52,29.70,116.98,0.48,33.32,112.42,0.47,12.30,118.48,0.43999999999999995,17.68,122.30,0.52,13.00,119.88,0.42000000000000004,3.50,124.08,0.56,13.16,114.38,0.5,27.96,120.23,0.53,61.98,120.46,0.58
1757870475,2025-09-14,10:21:15,,15.66,122.55,0.5,15.38,118.13,0.42000000000000004,19.30,119.76,0.52,29.70,116.98,0.48,40.02,112.42,0.53,12.30,118.48,0.43999999999999995,20.78,122.30,0.58,13.00,119.88,0.41000000000000003,3.40,124.08,0.56,15.26,114.38,0.5,27.96,120.23,0.47,61.98,120.46,0.59
1757870777,2025-09-14,10:26:17,,15.66,122.55,0.49,17.38,118.13,0.42999999999999994,19.60,119.76,0.44999999999999996,35.80,116.98,0.55,41.76,112.42,0.48,13.98,118.48,0.47,21.54,122.30,0.5700000000000001,9.80,119.88,0.37,1.70,124.08,0.53,15.36,114.38,0.51,35.56,120.23,0.52,62.78,120.46,0.63
1757871083,2025-09-14,10:31:23,,16.48,122.55,0.5,17.18,118.13,0.38,20.40,119.76,0.43999999999999995,36.60,116.98,0.56,46.56,112.42,0.47,15.08,118.48,0.48,26.04,122.30,0.62,9.80,119.88,0.36,1.60,124.08,0.52,15.70,114.38,0.5,40.20,120.23,0.53,62.78,120.46,0.64
1757871384,2025-09-14,10:36:24,,20.56,122.55,0.44999999999999996,20.18,118.13,0.4,22.02,119.76,0.43999999999999995,36.60,116.98,0.56,59.20,112.42,0.59,15.18,118.48,0.45999999999999996,26.04,122.30,0.6,12.10,119.88,0.36,3.62,124.08,0.54,25.80,114.38,0.55,40.20,120.23,0.41000000000000003,62.78,120.46,0.64
1757871686,2025-09-14,10:41:26,,25.12,122.55,0.47,27.08,118.13,0.47,23.34,119.76,0.45999999999999996,36.60,116.98,0.54,59.20,112.42,0.59,15.18,118.48,0.43999999999999995,27.06,122.30,0.53,12.10,119.88,0.33999999999999997,5.82,124.08,0.56,28.16,114.38,0.53,40.32,120.23,0.41000000000000003,64.58,120.46,0.66
1757871987,2025-09-14,10:46:27,,19.12,122.60,0.41000000000000003,30.60,118.00,0.51,29.76,119.81,0.47,40.40,117.18,0.53,60.62,112.29,0.59,15.18,118.62,0.43999999999999995,27.06,122.41,0.49,12.10,120.16,0.32999999999999996,5.82,124.01,0.56,28.16,114.59,0.59,40.32,120.26,0.41000000000000003,64.58,120.52,0.67
1757872288,2025-09-14,10:51:28,,19.12,122.60,0.4,35.28,118.00,0.43999999999999995,29.76,119.81,0.45999999999999996,40.40,117.18,0.54,64.18,112.29,0.6,15.18,118.62,0.42999999999999994,36.96,122.41,0.56,12.90,120.16,0.31000000000000005,5.82,124.01,0.5700000000000001,28.16,114.59,0.6,42.36,120.26,0.4,66.58,120.52,0.69
1757872590,2025-09-14,10:56:30,,19.12,122.60,0.35,40.68,118.00,0.49,29.76,119.81,0.4,44.40,117.18,0.6,64.22,112.29,0.56,17.12,118.62,0.44999999999999996,38.66,122.41,0.51,17.40,120.16,0.33999999999999997,5.82,124.01,0.55,33.26,114.59,0.65,45.62,120.26,0.43999999999999995,66.58,120.52,0.66
1757872892,2025-09-14,11:01:32,,20.56,122.63,0.36,40.68,118.01,0.43999999999999995,29.76,119.79,0.37,47.30,117.17,0.63,77.42,112.29,0.69,17.12,118.61,0.45999999999999996,43.66,122.40,0.56,18.90,120.15,0.33999999999999997,5.82,124.01,0.54,33.26,114.59,0.64,46.98,120.26,0.31000000000000005,66.58,120.52,0.66
1757873193,2025-09-14,11:06:33,,20.56,122.63,0.35,40.68,118.01,0.43999999999999995,29.76,119.79,0.35,47.30,117.17,0.65,87.58,112.29,0.73,17.72,118.61,0.45999999999999996,43.82,122.40,0.56,16.50,120.15,0.31000000000000005,6.52,124.01,0.54,34.54,114.59,0.65,51.98,120.26,0.27,66.58,120.52,0.69
1757873495,2025-09-14,11:11:35,,24.02,122.63,0.36,44.88,118.01,0.45999999999999996,34.02,119.79,0.43999999999999995,44.30,117.17,0.56,87.58,112.29,0.72,20.74,118.61,0.43999999999999995,44.98,122.40,0.54,16.90,120.15,0.29000000000000004,10.02,124.01,0.56,36.34,114.59,0.64,51.98,120.26,0.28,66.68,120.52,0.71
1757873798,2025-09-14,11:16:38,,30.52,122.63,0.38,44.88,118.01,0.45999999999999996,40.38,119.79,0.5,44.30,117.17,0.5,88.64,112.29,0.71,20.74,118.61,0.35,45.08,122.40,0.54,16.90,120.15,0.28,19.42,124.01,0.65,42.64,114.59,0.62,52.36,120.26,0.29000000000000004,66.68,120.52,0.72
